speech_turn,use_of_force_level
"Hey Tommy. Last time we came here, they had us go hands on with her 3 times. So.",3
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so.",4
Stillwater Police. Charlene?,1
Nothing. Can you come over here please?,1
"Can you come in my kitchen please. Can you close my door please, I have cats. Can you close my door please. Close it tight.",1
I'll stand right here I'm fine.,2
What's going on today?,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that",1
no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned,1
that's why I just like pulled over,1
okay what was your reason for coming in here,1
 I didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us,1
do you guys have IDs on you ,1
do you have your license on you boss,1
all right why don't you guys hang out here,1
okay I'm going to run him through Fields,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick,1
he always dodging around my questions,2
getting real evasive with his answers,2
well I'm going to do it regardless ,2
go ahead you can ask thank you keep the window rolled down,2
hey Rudolph hey open the door,2
I told you exactly what I was going to do okay,2
I'm telling you to get out of the vehicle right now,2
start us another one 1040,2
he's possibly 55 locked himself in,2
put it in park put it in park now he's taking off ,3
1050 foot bail foot bail foot pursuit stop stop do it now ,3
TASER deployed,4
He's Cooperative,1
okay do you mind stepping out for me real quick ,1
if you shut it off real quick,1
you uh got the keys by chance we'll just put on top the car,1
please go ahead and put keys on the hood,1
don't have to touch me,2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me,2
why you putting your hands on me,2
you are not supposed to touch me,2
stop moving stop moving relax stop moving,3
get off my neck,3
you know why why I hear gunshots all the time ,1
all right man well you be safe okay,1
all the guy in the red come this way too hey you in the red come this way,1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired,1
all right well the address came out right here okay so we just have to make sure ,1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo,1
Albuquerque Police wake up man you all right,1
we got dispatched to shots fired going off right here,1
I didn't hear nothing,1
hands behind your back now stay here,2
don't move Knuckles together,2
we have five detained right now,2
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there,1
where do you guys live at,1
you guys are good to go thank you,1
you hear any gunshots,1
do you know what your original charge was,1
that go okay probably going have to go to jail for it ,1
hey hey get up get up get up get up go,1
got shots fired by a black Durango heading eastbound on Chico,5
Durango going eastbound towards Wyoming,1
 yeah I'm good stay with him,1
was out of the driver's side though that shot came from the back of the car,1
right man we're going to go get you in a car where it's a little bit safer okay,1
we go we're going to throw them in a car just so we don't have to stand out here in the open,1
you know take your bag off,1
we'll adjust your hands for you okay,1
appreciate you man I'm glad you're okay,1
you're being detained you're not free to leave,2
put your hands up put your hands up get on the curb Hands Up Get on the curb ,3
shut your vehicle off turn the vehicle off throw the keys out the window,3
turn the car off turn it off ,3
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand,4
now you're just detained okay,2
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice,5
take two steps to your right walk backwards stop yeah I got him back down walk backwards,5
is there any else inside,1
inside yes my work knife,1
your work knife,1
any guns,1
no separate your feet separate your feet,2
I'm not going to lie there's a 9mm in the car,1
okay sit down,1
hey I found the gun all right,1
do you have an ID in New Mexico ,1
have you ever had contact with police before,1
we can ask him to search the bag,1
What's going on whats the problem,1
"Ok I'm willing to listen, come on lets talk. ",2
Nobodys gonna go to jail I promise you that,1
Just lean back,1
Show me 31,3
I got one black male running,3
I got one white male running,3
Don't fucking move,5
Cross fire cross fire,5
"I'm on the ground, I'm on the ground",3
Hang tight in the vehicle man,1
He's running,3
Stop police you're gonna get TASED,4
Back up back up I got cover I got cover,5
Can you just come out so we can talk,2
Shots fired shots fired front door hes at the front door,5
What you doin,1
What's your name?,1
You doing what now?,1
You got an ID on you?,1
Where's your ID?,1
Hold on we got somebody you need to talk to,1
Hey what's up man been through this once or twice huh?,1
Do me a favor just pull up a little further,1
Can you just open this up a little more?,1
Do me a favor open these windows up real quick,1
Do you have registration for the vehicle,1
Let me get that,1
What's your medical condition man,1
Do me a favor just open these up real quick so I can see back there,1
Ok so car's registered to you cool,1
Where you living at?,1
10-4 making that call now,1
I got all his info right here,1
The whole car reeks of weed,1
I just heard it was for a shooting,1
I got what might be that silver lexus they were looking for,1
It matches the description perfectly,1
This may be the vehicle they're looking for,1
What I want you to do is turn the vehicle off and step out for me,1
Stop banging on the door bruh,3
You break that and you're gonna get the whole can of pepper spray man,3
"Watch out, spray, spray",3
"He's trying to break that window, he's gonna pop it out",3
I can't breath,3
I can't breath at all,3
You sprayed that shit right in my face,3
"Please bro, I'm gonna get maced again, please bro",3
You're about to fucking get sprayed again if you keep kicking the window.,3
you're gonna get sprayed again,3
Put your hands out of the car now,5
Put your hands out of the car do it now,5
"I'm telling you, where's your id?",1
The whole car reeks of weed,1
"you know why why I hear gunshots all the time , do you understand?",1
"Ok, is that an ankle monitor? Please.",1
"Look, i got what might be that silver lexus they were looking for",1
"Look, the reason why i stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick",1
please go ahead and put keys on the hood Sir.,1
"Officer, you know take your bag off",1
"Look, so what happened today?",1
Ok so car's registered to you cool Now.,1
if you shut it off real quick Please.,1
all right well the address came out right here okay so we just have to make sure  Please.,1
I got what might be that silver lexus they were looking for,1
This may be the vehicle they're looking for Ma'am.,1
"I'm telling you, okay sit down",1
that go okay probably going have to go to jail for it  Now.,1
"Officer, we'll adjust your hands for you okay",1
"Hey, where do you guys live at",1
Do you have a mental condition? Ma'am.,1
okay I'm going to run him through Fields Sir.,1
"Look, let me get that",1
"Officer, what i want you to do is turn the vehicle off and step out for me",1
Is this your truck? Now.,1
Is there anything on you that you shouldn't have? Ma'am.,1
"Albuquerque Police wake up man you all right, do you understand?",1
"Do you have a mental condition?, do you understand?",1
okay I'm going to run him through Fields Sir.,1
"Look, we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there",1
Hey what's up man been through this once or twice huh? Sir.,1
Can you just open this up a little more? Sir.,1
"Stillwater Police. Charlene?, do you understand?",1
"we go we're going to throw them in a car just so we don't have to stand out here in the open, do you understand?",1
What happened today sir? Please.,1
So what happened today? Ma'am.,1
"Officer, all right man well you be safe okay",1
It matches the description perfectly,1
What's going on whats the problem,1
we'll adjust your hands for you okay,1
Can you just open this up a little more? Please.,1
"Do me a favor just pull up a little further, do you understand?",1
Where you living at? Ma'am.,1
"do you have an ID in New Mexico , do you understand?",1
"Look, we got dispatched to shots fired going off right here",1
"Officer, just lean back",1
"Hey, was out of the driver's side though that shot came from the back of the car",1
Can you just open this up a little more?,1
Nobodys gonna go to jail I promise you that Now.,1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo,1
"is there any else inside, do you understand?",1
if you shut it off real quick,1
no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned Please.,1
"Hey, like schizophrenia and ptsd.",1
"Look, you guys are good to go thank you",1
"Officer, what's going on today?",1
Hang tight in the vehicle man Please.,1
"Officer, i just heard it was for a shooting",1
Oh don't worry about it man! Lets get that ID!,1
hey hey get up get up get up get up go Now.,1
"Hey, 10-4 making that call now",1
inside yes my work knife,1
"okay I'm going to run him through Fields, do you understand?",1
"Officer, it matches the description perfectly",1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired Please.,1
"Look, is there any else inside",1
What you doin,1
Where you living at?,1
"Look, okay i'm going to run him through fields",1
Hold on we got somebody you need to talk to Ma'am.,1
"I'm telling you, hey hey get up get up get up get up go",1
"Is this your truck?, do you understand?",1
"Officer, just lean back",1
Hang tight in the vehicle man Please.,1
"Hey, your work knife",1
"Do you have a mental condition?, do you understand?",1
"Look, do me a favor open these windows up real quick",1
"Officer, ok, is that an ankle monitor?",1
"we got dispatched to shots fired going off right here, do you understand?",1
I'm not going to lie there's a 9mm in the car,1
"Hey, hey i found the gun all right",1
Oh don't worry about it man. Lets get that ID. Please.,1
"I'm telling you, can you just open this up a little more?",1
"Officer, the whole car reeks of weed",1
is there any else inside,1
Alright. You got your driver's license on you buddy? Where you headed? Sir.,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that",1
"okay sit down, do you understand?",1
"Hey, hey i found the gun all right",1
What's going on whats the problem Now.,1
Albuquerque Police wake up man you all right,1
where do you guys live at Now.,1
"Hey, do me a favor just open these up real quick so i can see back there",1
Is this your truck? Now.,1
We're getting confirmation on that now ok? Sir.,1
"I'm telling you, you have a warrant for your arrest.",1
"Officer, okay i'm going to run him through fields",1
"Officer, right man we're going to go get you in a car where it's a little bit safer okay",1
What's your name? Sir.,1
"I'm telling you, hey i found the gun all right",1
"Look, you know take your bag off",1
What's going on today? Please.,1
that go okay probably going have to go to jail for it  Ma'am.,1
"Look, i got what might be that silver lexus they were looking for",1
"Look, so what happened today?",1
So what happened today?,1
"Officer, we go we're going to throw them in a car just so we don't have to stand out here in the open",1
"Alright. You got your driver's license on you buddy? Where you headed?, do you understand?",1
"Hey,  i didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us",1
"Look, ok, is that an ankle monitor?",1
Do you have registration for the vehicle Ma'am.,1
"you uh got the keys by chance we'll just put on top the car, do you understand?",1
"Hey, hang tight in the vehicle man",1
I got what might be that silver lexus they were looking for Now.,1
I got all his info right here Ma'am.,1
"Officer, i got all his info right here",1
You have a warrant for your arrest. Sir.,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick Now.,1
appreciate you man I'm glad you're okay Now.,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick Sir.,1
"Hey, all right man well you be safe okay",1
you know take your bag off Ma'am.,1
"I'm telling you, what i want you to do is turn the vehicle off and step out for me",1
where do you guys live at Sir.,1
Oh don't worry about it man. Lets get that ID. Ma'am.,1
hey hey get up get up get up get up go Now.,1
"Officer, the reason why i stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick",1
What's your medical condition man Sir.,1
"Look, durango going eastbound towards wyoming",1
"Hey, where's your id?",1
Stillwater Police. Charlene? Please.,1
"I'm telling you, do me a favor open these windows up real quick",1
is there any else inside Please.,1
"Look, oh don't worry about it man. lets get that id.",1
Where you living at? Now.,1
"Look, you doing what now?",1
"I'm telling you,  i didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us",1
"I'm telling you, is there any else inside",1
no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned Please.,1
"Can you come in my kitchen please. Can you close my door please, I have cats. Can you close my door please. Close it tight. Ma'am.",1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired Sir.,1
Do you have registration for the vehicle Please.,1
"Officer, do you have a mental condition?",1
"Hey, nobodys gonna go to jail i promise you that",1
Stillwater Police. Charlene? Ma'am.,1
do you have an ID in New Mexico  Ma'am.,1
"Look, where's your id?",1
But the rest is I have the right to remain silent!,1
"Ok, is that an ankle monitor? Sir.",1
"Hey, nobodys gonna go to jail i promise you that",1
Where's your ID? Now.,1
You have a warrant for your arrest. Now.,1
"Hey, where do you guys live at",1
right man we're going to go get you in a car where it's a little bit safer okay Ma'am.,1
"Look, you know take your bag off",1
Yes sir it is! And I have a GPS while I'm out on bond!,1
"Look, that go okay probably going have to go to jail for it ",1
Do me a favor just pull up a little further Please.,1
Can you just open this up a little more?,1
"I'm telling you, can you just open this up a little more?",1
"Officer, inside yes my work knife",1
we'll adjust your hands for you okay Please.,1
I didn't hear nothing Please.,1
please go ahead and put keys on the hood,1
Whats your name. Sir.,1
What's going on today?,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick Sir.,1
you know take your bag off,1
Where's your ID?,1
What's going on today? Ma'am.,1
you guys are good to go thank you Ma'am.,1
"Officer, that's why i just like pulled over",1
I got all his info right here Please.,1
Hey what's up man been through this once or twice huh? Ma'am.,1
I got all his info right here Please.,1
Stillwater Police. Charlene? Please.,1
"Look, nobodys gonna go to jail i promise you that",1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there Now.,1
Just lean back Ma'am.,1
"I'm telling you, that's why i just like pulled over",1
okay do you mind stepping out for me real quick  Ma'am.,1
Stillwater Police. Charlene? Ma'am.,1
we can ask him to search the bag Ma'am.,1
It matches the description perfectly,1
"I'm telling you, do you have an id in new mexico ",1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there,1
"Ok, is that an ankle monitor? Now.",1
you uh got the keys by chance we'll just put on top the car Please.,1
It matches the description perfectly Ma'am.,1
"Is there anything on you that you shouldn't have?, do you understand?",1
Ok. Do you have a doctor here? That you see? Now.,1
"I'm telling you, we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there",1
Ok so car's registered to you cool,1
What happened today sir? Sir.,1
"I'm telling you, hey hey get up get up get up get up go",1
What you doin Now.,1
"Hey, we go we're going to throw them in a car just so we don't have to stand out here in the open",1
"I got all his info right here, do you understand?",1
"Hey, can you come in my kitchen please. can you close my door please, i have cats. can you close my door please. close it tight.",1
"Hey, that go okay probably going have to go to jail for it ",1
"Hey, what's your medical condition man",1
The whole car reeks of weed Please.,1
He's Cooperative Sir.,1
"Hey, please go ahead and put keys on the hood",1
Albuquerque Police wake up man you all right Ma'am.,1
It matches the description perfectly,1
"I'm telling you, like schizophrenia and ptsd.",1
"Hey, if you shut it off real quick",1
Albuquerque Police wake up man you all right Ma'am.,1
"I'm telling you, you know take your bag off",1
"Hey, we'll adjust your hands for you okay",1
"Look, the reason why i stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick",1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick Ma'am.,1
"I'm telling you, whats your name.",1
What you doin Now.,1
I'm not going to lie there's a 9mm in the car Now.,1
"Look, it matches the description perfectly",1
"Look, we can ask him to search the bag",1
is there any else inside Please.,1
"okay sit down, do you understand?",1
"Albuquerque Police wake up man you all right, do you understand?",1
"Officer, do you have an id in new mexico ",1
"What's going on whats the problem, do you understand?",1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo,1
"It matches the description perfectly, do you understand?",1
"Officer, do you have a mental condition?",1
Is there anything on you that you shouldn't have? Ma'am.,1
okay do you mind stepping out for me real quick ,1
"Look, what's going on whats the problem",1
10-4 making that call now Ma'am.,1
"I'm telling you, okay do you mind stepping out for me real quick ",1
right man we're going to go get you in a car where it's a little bit safer okay,1
"Officer, okay i'm going to run him through fields",1
"I'm telling you, where do you guys live at",1
"You doing what now?, do you understand?",1
Is there anything on you that you shouldn't have? Sir.,1
okay sit down Sir.,1
"Look, you in the red shirt step over here put what you have in your hands down appreciate it thank yo",1
"You got any weapons on you brother? , do you understand?",1
"Look, he's cooperative",1
"okay do you mind stepping out for me real quick , do you understand?",1
"Hey, your work knife",1
if you shut it off real quick,1
that go okay probably going have to go to jail for it  Please.,1
Where you living at?,1
Oh don't worry about it man! Lets get that ID!,1
"I'm telling you, what i want you to do is turn the vehicle off and step out for me",1
What's going on today?,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that Please.",1
You got any weapons on you brother?  Ma'am.,1
"Look, but the rest is i have the right to remain silent.",1
"I'm telling you, do you have registration for the vehicle",1
"Officer, right man we're going to go get you in a car where it's a little bit safer okay",1
Is there anything on you that you shouldn't have? Ma'am.,1
"Albuquerque Police wake up man you all right, do you understand?",1
"Can you just open this up a little more?, do you understand?",1
He's Cooperative Now.,1
Oh don't worry about it man. Lets get that ID. Ma'am.,1
"Look, we can ask him to search the bag",1
What's your name?,1
that go okay probably going have to go to jail for it ,1
"10-4 making that call now, do you understand?",1
"Hey, what's your medical condition man",1
"Look, he's cooperative",1
"do you guys have IDs on you , do you understand?",1
"Look, what's going on today?",1
"Look, where you living at?",1
"hey hey get up get up get up get up go, do you understand?",1
"Hey, 10-4 making that call now",1
Is there anything on you that you shouldn't have? Sir.,1
"Hey, what's going on whats the problem",1
"I'm telling you, we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there",1
"Hey, is there anything on you that you shouldn't have?",1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Sir.,1
Do you have registration for the vehicle Sir.,1
you guys are good to go thank you Now.,1
hey hey get up get up get up get up go,1
I was gonna go get a hotel. Ma'am.,1
"Hey, do you have registration for the vehicle",1
"Officer, you know take your bag off",1
"Hey, all right man well you be safe okay",1
You got any weapons on you brother?  Ma'am.,1
"Officer, the whole car reeks of weed",1
"I'm telling you,  yeah i'm good stay with him",1
Hang tight in the vehicle man Please.,1
Ok. Do you have a doctor here? That you see? Please.,1
"I'm telling you, ok, is that an ankle monitor?",1
"Hold on we got somebody you need to talk to, do you understand?",1
"Ok, is that an ankle monitor? Sir.",1
"okay do you mind stepping out for me real quick , do you understand?",1
"Hey, do me a favor open these windows up real quick",1
"Hold on we got somebody you need to talk to, do you understand?",1
you guys are good to go thank you Please.,1
 I didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us Ma'am.,1
You have a warrant for your arrest. Ma'am.,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that Now.",1
"Officer, oh don't worry about it man. lets get that id.",1
"Hey, this may be the vehicle they're looking for",1
"Officer, like schizophrenia and ptsd.",1
What are you doing on your phone? Ma'am.,1
okay sit down Ma'am.,1
"Hey, you know why why i hear gunshots all the time ",1
Hey what's up man been through this once or twice huh? Ma'am.,1
Nothing! Can you come over here please?,1
10-4 making that call now,1
we can ask him to search the bag Please.,1
"Officer, ok. do you have a doctor here? that you see?",1
What's going on today? Ma'am.,1
inside yes my work knife Now.,1
you know take your bag off Ma'am.,1
okay I'm going to run him through Fields Ma'am.,1
"I'm telling you, we can ask him to search the bag",1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that",1
But the rest is I have the right to remain silent. Ma'am.,1
Alright. You got your driver's license on you buddy? Where you headed? Please.,1
What I want you to do is turn the vehicle off and step out for me Now.,1
"Look, i got what might be that silver lexus they were looking for",1
"Look, what i want you to do is turn the vehicle off and step out for me",1
"Hey, that go okay probably going have to go to jail for it ",1
I got what might be that silver lexus they were looking for Sir.,1
"Officer, we're getting confirmation on that now ok?",1
"Look, okay do you mind stepping out for me real quick ",1
Where you living at? Ma'am.,1
do you know what your original charge was Now.,1
was out of the driver's side though that shot came from the back of the car,1
"Officer, nothing. can you come over here please?",1
"Officer, what's your name?",1
"Officer, where's your id?",1
"Look, like schizophrenia and ptsd.",1
I just heard it was for a shooting Now.,1
you guys are good to go thank you Now.,1
"hey I found the gun all right, do you understand?",1
"I'm telling you, police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that",1
do you have an ID in New Mexico  Ma'am.,1
you guys are good to go thank you Please.,1
"Hey, can you just open this up a little more?",1
"Hey, no we were just trying to get home honestly like the car in front of us i felt like they were getting kind of close but i understand why you you know why you were concerned",1
"Hey, so what happened today?",1
"Officer, was out of the driver's side though that shot came from the back of the car",1
okay I'm going to run him through Fields Ma'am.,1
please go ahead and put keys on the hood Now.,1
"Officer, what's going on today?",1
okay what was your reason for coming in here Now.,1
hey hey get up get up get up get up go,1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo Ma'am.,1
"Officer, alright. you got your driver's license on you buddy? where you headed?",1
"I'm telling you, have you ever had contact with police before",1
"You got an ID on you?, do you understand?",1
we can ask him to search the bag Sir.,1
Do you have registration for the vehicle Ma'am.,1
"I'm telling you, please go ahead and put keys on the hood",1
"Officer, do you have your license on you boss",1
"Officer, stillwater police. charlene?",1
Yes sir,1
"Whats your name., do you understand?",1
"Hey, this may be the vehicle they're looking for",1
You doing what now? Sir.,1
"Officer, i didn't hear nothing",1
"I'm telling you, okay sit down",1
any guns,1
"Officer, is this your truck?",1
The whole car reeks of weed Sir.,1
What you doin,1
"Look, right man we're going to go get you in a car where it's a little bit safer okay",1
"Officer, do me a favor just open these up real quick so i can see back there",1
"What's up brother. Hey, how we doing?, do you understand?",1
 yeah I'm good stay with him,1
"Officer, all right man well you be safe okay",1
"Look, that's why i just like pulled over",1
So what happened today? Now.,1
I just heard it was for a shooting Now.,1
"have you ever had contact with police before, do you understand?",1
"Hey, ok, is that an ankle monitor?",1
Can you just open this up a little more? Sir.,1
"Hey, hold on we got somebody you need to talk to",1
"Let me get that, do you understand?",1
What you doin Please.,1
Do me a favor open these windows up real quick Please.,1
"I'm telling you, do you have a mental condition?",1
But the rest is I have the right to remain silent. Ma'am.,1
I was gonna go get a hotel!,1
"Hey, do me a favor open these windows up real quick",1
"Look, stillwater police. charlene?",1
"Look, i got all his info right here",1
"Officer,  i didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us",1
if you shut it off real quick Now.,1
Hey what's up man been through this once or twice huh? Sir.,1
"Officer, i was gonna go get a hotel.",1
okay do you mind stepping out for me real quick ,1
"Look, i'm not going to lie there's a 9mm in the car",1
"We're getting confirmation on that now ok?, do you understand?",1
"was out of the driver's side though that shot came from the back of the car, do you understand?",1
Can you just open this up a little more? Please.,1
you uh got the keys by chance we'll just put on top the car,1
"Hey, is there anything on you that you shouldn't have?",1
"Hey, what i want you to do is turn the vehicle off and step out for me",1
10-4 making that call now Sir.,1
Alright! You got your driver's license on you buddy? Where you headed?,1
You got an ID on you? Sir.,1
Is this your truck? Sir.,1
"I'm telling you, you got any weapons on you brother? ",1
Let me get that Sir.,1
"I'm telling you, police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that",1
"Officer, do you have your license on you boss",1
It matches the description perfectly Now.,1
"What's up brother. Hey, how we doing? Ma'am.",1
all right well the address came out right here okay so we just have to make sure  Ma'am.,1
hey hey get up get up get up get up go Now.,1
"Hey, i got what might be that silver lexus they were looking for",1
"Look, okay sit down",1
we can ask him to search the bag,1
Ok so car's registered to you cool Now.,1
"Look, 10-4 making that call now",1
Do you have a mental condition? Now.,1
"Look, all the guy in the red come this way too hey you in the red come this way",1
Is there anything on you that you shouldn't have?,1
"Officer, you have a warrant for your arrest.",1
"Look, do me a favor just pull up a little further",1
"I'm telling you, do you have registration for the vehicle",1
"Hey, you know why why i hear gunshots all the time ",1
"Officer, what's your name?",1
"Look, is there any else inside",1
Do me a favor just pull up a little further Now.,1
"Look, you have a warrant for your arrest.",1
we go we're going to throw them in a car just so we don't have to stand out here in the open Sir.,1
"Officer, can you just open this up a little more?",1
"What's up brother. Hey, how we doing? Please.",1
"Is there anything on you that you shouldn't have?, do you understand?",1
"Officer, hey i found the gun all right",1
This may be the vehicle they're looking for Ma'am.,1
"I'm telling you, i got all his info right here",1
you guys are good to go thank you Please.,1
You doing what now?,1
hey hey get up get up get up get up go,1
"Albuquerque Police wake up man you all right, do you understand?",1
"Hey what's up man been through this once or twice huh?, do you understand?",1
okay I'm going to run him through Fields Sir.,1
"Officer, where do you guys live at",1
"I was gonna go get a hotel., do you understand?",1
I'm not going to lie there's a 9mm in the car Ma'am.,1
"What you doin, do you understand?",1
"What's up brother. Hey, how we doing? Please.",1
Just lean back Please.,1
Whats your name. Please.,1
"Officer, just lean back",1
Do you have registration for the vehicle Ma'am.,1
"Hey, hang tight in the vehicle man",1
"appreciate you man I'm glad you're okay, do you understand?",1
Alright. You got your driver's license on you buddy? Where you headed? Please.,1
that's why I just like pulled over Please.,1
Do you have registration for the vehicle,1
"Look, where you living at?",1
"What's up brother. Hey, how we doing? Now.",1
"Hey, what's your medical condition man",1
all right why don't you guys hang out here,1
"Look, nobodys gonna go to jail i promise you that",1
is there any else inside Ma'am.,1
"I'm telling you, that go okay probably going have to go to jail for it ",1
"I'm telling you, you hear any gunshots",1
"Look, whats your name.",1
please go ahead and put keys on the hood Ma'am.,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that, do you understand?",1
Whats your name. Sir.,1
I got all his info right here Ma'am.,1
"Look, nothing. can you come over here please?",1
"Hey, is this your truck?",1
"Look, do me a favor open these windows up real quick",1
You have a warrant for your arrest. Sir.,1
"Officer, you know take your bag off",1
"Officer, that's why i just like pulled over",1
Oh don't worry about it man. Lets get that ID. Please.,1
"Officer, all the guy in the red come this way too hey you in the red come this way",1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired Now.,1
any guns Ma'am.,1
"I'm telling you, can you come in my kitchen please. can you close my door please, i have cats. can you close my door please. close it tight.",1
"Officer, so what happened today?",1
"Hey, yes sir",1
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there Sir.,1
all right well the address came out right here okay so we just have to make sure  Now.,1
"I'm telling you, you got an id on you?",1
is there any else inside Ma'am.,1
"I'm telling you, what's your medical condition man",1
"Look, the whole car reeks of weed",1
"You got any weapons on you brother? , do you understand?",1
"I'm telling you, what you doin",1
