speech_turn,use_of_force_level
"Hey Tommy. Last time we came here, they had us go hands on with her 3 times. So.",3
"She just goes nuts, makes suicidal statements, and tries to fight with the cops all the time so.",4
Stillwater Police. Charlene?,1
Nothing. Can you come over here please?,1
"Can you come in my kitchen please. Can you close my door please, I have cats. Can you close my door please. Close it tight.",1
I'll stand right here I'm fine.,2
What's going on today?,1
"police reason for your stop today is you were over the the 
line over here and then also you were in the bike lane coming down east any reason for that",1
no we were just trying to get home honestly like the car in front of us I felt like they were getting kind of close but I understand why you you know why you were concerned,1
that's why I just like pulled over,1
okay what was your reason for coming in here,1
 I didn't want you to think that there was anything concerning you know we're trying to make it home and like her mom is literally waiting for us,1
do you guys have IDs on you ,1
do you have your license on you boss,1
all right why don't you guys hang out here,1
okay I'm going to run him through Fields,1
the reason why I stopped him was he was like going a little bit over the bike lane coming down east and then also when we turned on to sunset here he was is over the center line going to run him real quick,1
he always dodging around my questions,2
getting real evasive with his answers,2
well I'm going to do it regardless ,2
go ahead you can ask thank you keep the window rolled down,2
hey Rudolph hey open the door,2
I told you exactly what I was going to do okay,2
I'm telling you to get out of the vehicle right now,2
start us another one 1040,2
he's possibly 55 locked himself in,2
put it in park put it in park now he's taking off ,3
1050 foot bail foot bail foot pursuit stop stop do it now ,3
TASER deployed,4
He's Cooperative,1
okay do you mind stepping out for me real quick ,1
if you shut it off real quick,1
you uh got the keys by chance we'll just put on top the car,1
please go ahead and put keys on the hood,1
don't have to touch me,2
don't yes you do you do need a woman to touch me don't touch me okay don't touch me,2
why you putting your hands on me,2
you are not supposed to touch me,2
stop moving stop moving relax stop moving,3
get off my neck,3
you know why why I hear gunshots all the time ,1
all right man well you be safe okay,1
all the guy in the red come this way too hey you in the red come this way,1
follow your buddies do me a favor guys just put what you guys got down I just want to see empty hands okay we're dispatched to a call shotter or shots fired,1
all right well the address came out right here okay so we just have to make sure ,1
you in the red shirt step over here put what you have in your hands down appreciate it thank yo,1
Albuquerque Police wake up man you all right,1
we got dispatched to shots fired going off right here,1
I didn't hear nothing,1
hands behind your back now stay here,2
don't move Knuckles together,2
we have five detained right now,2
we're investigating make sure none of you guys were the ones shooting what were you doing with that broke down car back there,1
where do you guys live at,1
you guys are good to go thank you,1
you hear any gunshots,1
do you know what your original charge was,1
that go okay probably going have to go to jail for it ,1
hey hey get up get up get up get up go,1
got shots fired by a black Durango heading eastbound on Chico,5
Durango going eastbound towards Wyoming,1
 yeah I'm good stay with him,1
was out of the driver's side though that shot came from the back of the car,1
right man we're going to go get you in a car where it's a little bit safer okay,1
we go we're going to throw them in a car just so we don't have to stand out here in the open,1
you know take your bag off,1
we'll adjust your hands for you okay,1
appreciate you man I'm glad you're okay,1
you're being detained you're not free to leave,2
put your hands up put your hands up get on the curb Hands Up Get on the curb ,3
shut your vehicle off turn the vehicle off throw the keys out the window,3
turn the car off turn it off ,3
climb out the window you better figure the out right now you do anything other than you're told your is going to get hit with this rubber bullet you understand,4
now you're just detained okay,2
grab your shirt at the top of your neck right there pull it up all the way up I need to see your waistband front and back take it off turn around stop walk back towards the sound of my voice,5
take two steps to your right walk backwards stop yeah I got him back down walk backwards,5
is there any else inside,1
inside yes my work knife,1
your work knife,1
any guns,1
no separate your feet separate your feet,2
I'm not going to lie there's a 9mm in the car,1
okay sit down,1
hey I found the gun all right,1
do you have an ID in New Mexico ,1
have you ever had contact with police before,1
we can ask him to search the bag,1
What's going on whats the problem,1
"Ok I'm willing to listen, come on lets talk. ",2
Nobodys gonna go to jail I promise you that,1
Just lean back,1
Show me 31,3
I got one black male running,3
I got one white male running,3
Don't fucking move,5
Cross fire cross fire,5
"I'm on the ground, I'm on the ground",3
Hang tight in the vehicle man,1
He's running,3
Stop police you're gonna get TASED,4
Back up back up I got cover I got cover,5
Can you just come out so we can talk,2
Shots fired shots fired front door hes at the front door,5
What you doin,1
What's your name?,1
You doing what now?,1
You got an ID on you?,1
Where's your ID?,1
Hold on we got somebody you need to talk to,1
Hey what's up man been through this once or twice huh?,1
Do me a favor just pull up a little further,1
Can you just open this up a little more?,1
Do me a favor open these windows up real quick,1
Do you have registration for the vehicle,1
Let me get that,1
What's your medical condition man,1
Do me a favor just open these up real quick so I can see back there,1
Ok so car's registered to you cool,1
Where you living at?,1
10-4 making that call now,1
I got all his info right here,1
The whole car reeks of weed,1
I just heard it was for a shooting,1
I got what might be that silver lexus they were looking for,1
It matches the description perfectly,1
This may be the vehicle they're looking for,1
What I want you to do is turn the vehicle off and step out for me,1
Stop banging on the door bruh,3
You break that and you're gonna get the whole can of pepper spray man,3
"Watch out, spray, spray",3
"He's trying to break that window, he's gonna pop it out",3
I can't breath,3
I can't breath at all,3
You sprayed that shit right in my face,3
"Please bro, I'm gonna get maced again, please bro",3
You're about to fucking get sprayed again if you keep kicking the window.,3
you're gonna get sprayed again,3
Put your hands out of the car now,5
Put your hands out of the car do it now,5
"Good afternoon, sir. I'm Officer Reynolds. License and registration, please.",1
"Alright, hang on.",1
Have you had anything to drink today?,2
What if I have? That's none of your business.,2
I'm not stepping out. Just write your ticket.,2
This is your final warning. Step out immediately.,3
"Good afternoon, sir. I'm Officer Reynolds. License and registration, please.",1
"Alright, hang on.",1
Have you had anything to drink today?,1
What if I have? That's none of your business.,2
Step out of the vehicle for a sobriety check.,2
I'm not stepping out. Just write your ticket.,2
This is your final warning. Step out immediately.,3
No chance. You're wasting your time.,3
"Get out of the vehicle right now, or I'll remove you myself.",3
I'd like to see you try.,4
"Unlock the door immediately, or I will break the window.",4
"You touch my car, I'll make you regret it.",4
Keep your hands visible! Stop reaching under the seat!,5
"Back off, or you'll get what's coming!",5
"Hands up! Do it now, or I'll shoot!",5
"Evening, ma'am. I'm Officer Lee. License, registration, and proof of insurance, please.",1
"Sure thing, officer. What's the issue?",1
Your taillight is out. Did you know about it?,1
Seriously? It was fine this morning.,1
Please stay seated; I'll be right back.,1
Can we hurry this up? I've got somewhere to be.,2
It'll take as long as necessary. Please remain patient.,2
"This is ridiculous, it's just a taillight!",2
Please calm down and stay inside your vehicle.,2
I'm getting out. You're wasting my time.,3
"Ma'am, stay inside your vehicle immediately!",3
Don't tell me what to do!,3
Get back in your vehicle or you'll be arrested!,4
You're not arresting anyone tonight!,4
Stop approaching me! Stay back!,5
You think you're tough with that badge? I'll show you tough!,5
Stop right there! Don't make me use force!,5
Good evening. I'm Officer Torres. Do you realize you ran that stop sign?,1
I didn't see any stop sign.,1
"It's clearly marked. License and registration, please.",1
You got nothing better to do? Just hassling people?,2
I'm conducting a lawful traffic stop. Provide your documents now.,2
Whatever. Take them.,2
Stay put. I'll be right back.,2
"Make it quick, will you?",2
"Sir, remain respectful, and we'll finish soon.",2
Or else what? You'll make up charges?,3
"Sir, your attitude isn't helping. Keep your hands visible.",3
You scared or something? Relax.,3
"Step out of the vehicle, please.",3
I'm not stepping anywhere.,3
"Get out now, or I'll remove you forcibly.",4
Touch me and you're done.,4
Hands off that door handle! Step back immediately!,5
You wanna go? Let's go!,5
Stay where you are! I will use deadly force if necessary!,5
Officer Daniels here. You blew through that red light. Hand over your license and registration.,1
Seriously? Go find some real criminals to chase.,1
"Dispatch, running plates on argumentative driver, plate LKF-509. Stand by.",1
Argumentative? You're wasting my time. Stop harassing me!,2
Lower your voice and remain calm. Backup requested; suspect is becoming verbally aggressive.,2
You called backup? Pathetic. Is this how you get your kicks?,2
"Exit the vehicle slowly. Dispatch, driver is actively resisting.",3
I'm not moving. You're abusing your badge!,3
This is your final warning‚-step out or you'll be forced out!,3
Get your hands off me! I swear I'll make you regret this!,4
"Dispatch, suspect just shoved me. Send immediate support! Stop resisting!",4
I'll resist all I want! You're not arresting me!,4
Drop the screwdriver now! Don't even think about it!,5
Come closer and you'll see how sharp it is!,5
"Drop it immediately, or I will shoot you!",5
"You better shoot first, because I'm not backing down!",5
"Good afternoon, Officer Mendez here. Just letting you know you have a tire that's dangerously low.",1
"Oh, thanks for letting me know, officer. I had no idea.",1
No problem. Just pull into the gas station ahead and take care of it before you drive further.,1
Will do. Appreciate your help.,1
"Drive safely, have a good day.",1
"You too, officer.",1
"Evening, Officer Sullivan here. You rolled through that stop sign back there. License and registration, please.",1
Rolled through? That's a joke‚-I clearly stopped.,1
"Just doing my job. Dispatch, traffic stop with vehicle QSD-459, no backup needed at this time.",1
Your job seems to be annoying people for no reason.,2
Let's just keep this respectful. I'll run your info quickly and get you on your way.,2
"Yeah, whatever helps you sleep at night.",2
"Your attitude isn't helping. Remain calm, and we'll finish this soon.",2
Finish what? Harassing innocent drivers?,2
"Everything checks out. Here‚Äôs your license. Next time, fully stop at the sign.",1
Sure thing. I'll stop extra long next time just for you.,1
"Evening, Officer Ramsey here. Your music is extremely loud‚-you're disturbing the neighborhood. Mind turning it down?",1
Really? You're bothering me over music?,1
"Just asking for some consideration. Let‚Äôs see your license and registration, please.",1
"I wasn't bothering anybody, officer. Maybe people around here should mind their business.",2
"Just cooperate, and you can be on your way. Dispatch, conducting a noise-related stop, no backup currently needed.",1
Cooperation? You're the one causing trouble here.,2
"Look, keep your volume reasonable, and we won't have any issues.",1
"Fine, I'll turn it down. Anything else you want to micromanage tonight?",2
Just drive safely and be respectful.,1
"Yeah, sure. Thanks for the life lesson.",2
"Good evening, Officer Brooks here. Just noticed your brake lights aren't functioning properly. License and registration, please.",1
Brake lights? Seriously? This car is brand new.,1
"Even new cars can have issues. Just sit tight while I verify your information. Dispatch, conducting routine stop, no assistance needed.",1
You sure you didn't mistake my car for someone else's?,1
No mistake. Just trying to keep you safe tonight. You might want to get it checked tomorrow.,1
"Alright, I'll have it looked at. Didn't mean to be rude earlier.",1
No worries. Just keeping an eye out for everyone. Have a good evening.,1
"Thanks, officer. You too.",1
"Evening, Officer Vega. Your speed was well over the limit back there. License and registration, please.",1
You must have clocked the wrong car. I wasn't speeding.,1
"Dispatch, conducting stop on speeding vehicle, plate MHR-765. Driver disputing speed.",1
"Look, just give me my ticket and let me leave. I'm late already.",2
"Relax, it'll be quick. Any reason you're in such a rush?",2
What's it to you? Maybe you should mind your own business.,2
"Sir, I'm noticing suspicious behavior. Step out of the car slowly for me.",3
Suspicious? You‚Äôre the suspicious one here. I‚Äôm staying right where I am.,3
I won't ask again. Exit the vehicle immediately.,3
"You're really pushing your luck, officer. You don't want to see me angry.",4
"Dispatch, subject is becoming hostile. Hands visible now! Step out!",4
"You reach into this car, and you'll regret it forever!",4
Drop that knife immediately! Do not move!,5
Back off! You're not taking me down tonight!,5
Drop your weapon or I'll shoot! Final warning!,5
Go ahead‚-let's see how brave you are when I come at you!,5
"Good afternoon, Officer Mendez here. Just letting you know you have a tire that's dangerously low.",1
"Oh, thanks for letting me know, officer. I had no idea.",1
No problem. Just pull into the gas station ahead and take care of it before you drive further.,1
Will do. Appreciate your help.,1
"Drive safely, have a good day.",1
"You too, officer.",1
"Evening, Officer Sullivan here. You rolled through that stop sign back there. License and registration, please.",1
Rolled through? That's a joke‚-I clearly stopped.,1
"Just doing my job. Dispatch, traffic stop with vehicle QSD-459, no backup needed at this time.",1
Your job seems to be annoying people for no reason.,2
Let's just keep this respectful. I'll run your info quickly and get you on your way.,2
"Yeah, whatever helps you sleep at night.",2
"Your attitude isn't helping. Remain calm, and we'll finish this soon.",2
Finish what? Harassing innocent drivers?,2
"Everything checks out. Here‚Äôs your license. Next time, fully stop at the sign.",1
Sure thing. I'll stop extra long next time just for you.,1
"Evening, Officer Ramsey here. Your music is extremely loud‚-you're disturbing the neighborhood. Mind turning it down?",1
Really? You're bothering me over music?,1
"Just asking for some consideration. Let‚Äôs see your license and registration, please.",1
"I wasn't bothering anybody, officer. Maybe people around here should mind their business.",2
"Just cooperate, and you can be on your way. Dispatch, conducting a noise-related stop, no backup currently needed.",1
Cooperation? You're the one causing trouble here.,2
"Look, keep your volume reasonable, and we won't have any issues.",1
"Fine, I'll turn it down. Anything else you want to micromanage tonight?",2
Just drive safely and be respectful.,1
"Yeah, sure. Thanks for the life lesson.",2
"Good evening, Officer Brooks here. Just noticed your brake lights aren't functioning properly. License and registration, please.",1
Brake lights? Seriously? This car is brand new.,1
"Even new cars can have issues. Just sit tight while I verify your information. Dispatch, conducting routine stop, no assistance needed.",1
You sure you didn't mistake my car for someone else's?,1
No mistake. Just trying to keep you safe tonight. You might want to get it checked tomorrow.,1
"Alright, I'll have it looked at. Didn't mean to be rude earlier.",1
No worries. Just keeping an eye out for everyone. Have a good evening.,1
"Thanks, officer. You too.",1
"Evening, Officer Vega. Your speed was well over the limit back there. License and registration, please.",1
You must have clocked the wrong car. I wasn't speeding.,1
"Dispatch, conducting stop on speeding vehicle, plate MHR-765. Driver disputing speed.",1
"Look, just give me my ticket and let me leave. I'm late already.",2
"Relax, it'll be quick. Any reason you're in such a rush?",2
What's it to you? Maybe you should mind your own business.,2
"Sir, I'm noticing suspicious behavior. Step out of the car slowly for me.",3
Suspicious? You‚Äôre the suspicious one here. I‚Äôm staying right where I am.,3
I won't ask again. Exit the vehicle immediately.,3
"You're really pushing your luck, officer. You don't want to see me angry.",4
"Dispatch, subject is becoming hostile. Hands visible now! Step out!",4
"You reach into this car, and you'll regret it forever!",4
Drop that knife immediately! Do not move!,5
Back off! You're not taking me down tonight!,5
Drop your weapon or I'll shoot! Final warning!,5
Go ahead‚-let's see how brave you are when I come at you!,5
"Good afternoon, Officer Mendez here. Just letting you know you have a tire that's dangerously low.",1
"Oh, thanks for letting me know, officer. I had no idea.",1
No problem. Just pull into the gas station ahead and take care of it before you drive further.,1
Will do. Appreciate your help.,1
"Drive safely, have a good day.",1
"You too, officer.",1
"Evening, Officer Sullivan here. You rolled through that stop sign back there. License and registration, please.",1
Rolled through? That's a joke‚-I clearly stopped.,1
"Just doing my job. Dispatch, traffic stop with vehicle QSD-459, no backup needed at this time.",1
Your job seems to be annoying people for no reason.,2
Let's just keep this respectful. I'll run your info quickly and get you on your way.,2
"Yeah, whatever helps you sleep at night.",2
"Your attitude isn't helping. Remain calm, and we'll finish this soon.",2
Finish what? Harassing innocent drivers?,2
"Everything checks out. Here‚Äôs your license. Next time, fully stop at the sign.",1
Sure thing. I'll stop extra long next time just for you.,1
"Evening, Officer Ramsey here. Your music is extremely loud‚-you're disturbing the neighborhood. Mind turning it down?",1
Really? You're bothering me over music?,1
"Just asking for some consideration. Let‚Äôs see your license and registration, please.",1
"I wasn't bothering anybody, officer. Maybe people around here should mind their business.",2
"Just cooperate, and you can be on your way. Dispatch, conducting a noise-related stop, no backup currently needed.",1
Cooperation? You're the one causing trouble here.,2
"Look, keep your volume reasonable, and we won't have any issues.",1
"Fine, I'll turn it down. Anything else you want to micromanage tonight?",2
Just drive safely and be respectful.,1
"Yeah, sure. Thanks for the life lesson.",2
"Good evening, Officer Brooks here. Just noticed your brake lights aren't functioning properly. License and registration, please.",1
Brake lights? Seriously? This car is brand new.,1
"Even new cars can have issues. Just sit tight while I verify your information. Dispatch, conducting routine stop, no assistance needed.",1
You sure you didn't mistake my car for someone else's?,1
No mistake. Just trying to keep you safe tonight. You might want to get it checked tomorrow.,1
"Alright, I'll have it looked at. Didn't mean to be rude earlier.",1
No worries. Just keeping an eye out for everyone. Have a good evening.,1
"Thanks, officer. You too.",1
"Evening, Officer Vega. Your speed was well over the limit back there. License and registration, please.",1
You must have clocked the wrong car. I wasn't speeding.,1
"Dispatch, conducting stop on speeding vehicle, plate MHR-765. Driver disputing speed.",1
"Look, just give me my ticket and let me leave. I'm late already.",2
"Relax, it'll be quick. Any reason you're in such a rush?",2
What's it to you? Maybe you should mind your own business.,2
"Sir, I'm noticing suspicious behavior. Step out of the car slowly for me.",3
Suspicious? You‚Äôre the suspicious one here. I‚Äôm staying right where I am.,3
I won't ask again. Exit the vehicle immediately.,3
"You're really pushing your luck, officer. You don't want to see me angry.",4
"Dispatch, subject is becoming hostile. Hands visible now! Step out!",4
"You reach into this car, and you'll regret it forever!",4
Drop that knife immediately! Do not move!,5
Back off! You're not taking me down tonight!,5
Drop your weapon or I'll shoot! Final warning!,5
Go ahead‚-let's see how brave you are when I come at you!,5
"Good afternoon, Officer Mendez here. Just letting you know you have a tire that's dangerously low.",1
"Oh, thanks for letting me know, officer. I had no idea.",1
No problem. Just pull into the gas station ahead and take care of it before you drive further.,1
Will do. Appreciate your help.,1
"Drive safely, have a good day.",1
"You too, officer.",1
"Evening, Officer Sullivan here. You rolled through that stop sign back there. License and registration, please.",1
Rolled through? That's a joke‚-I clearly stopped.,1
"Just doing my job. Dispatch, traffic stop with vehicle QSD-459, no backup needed at this time.",1
Your job seems to be annoying people for no reason.,2
Let's just keep this respectful. I'll run your info quickly and get you on your way.,2
"Yeah, whatever helps you sleep at night.",2
"Your attitude isn't helping. Remain calm, and we'll finish this soon.",2
Finish what? Harassing innocent drivers?,2
"Everything checks out. Here‚Äôs your license. Next time, fully stop at the sign.",1
Sure thing. I'll stop extra long next time just for you.,1
"Evening, Officer Ramsey here. Your music is extremely loud‚-you're disturbing the neighborhood. Mind turning it down?",1
Really? You're bothering me over music?,1
"Just asking for some consideration. Let‚Äôs see your license and registration, please.",1
"I wasn't bothering anybody, officer. Maybe people around here should mind their business.",2
"Just cooperate, and you can be on your way. Dispatch, conducting a noise-related stop, no backup currently needed.",1
Cooperation? You're the one causing trouble here.,2
"Look, keep your volume reasonable, and we won't have any issues.",1
"Fine, I'll turn it down. Anything else you want to micromanage tonight?",2
Just drive safely and be respectful.,1
"Yeah, sure. Thanks for the life lesson.",2
"Good evening, Officer Brooks here. Just noticed your brake lights aren't functioning properly. License and registration, please.",1
Brake lights? Seriously? This car is brand new.,1
"Even new cars can have issues. Just sit tight while I verify your information. Dispatch, conducting routine stop, no assistance needed.",1
You sure you didn't mistake my car for someone else's?,1
No mistake. Just trying to keep you safe tonight. You might want to get it checked tomorrow.,1
"Alright, I'll have it looked at. Didn't mean to be rude earlier.",1
No worries. Just keeping an eye out for everyone. Have a good evening.,1
"Thanks, officer. You too.",1
"Evening, Officer Vega. Your speed was well over the limit back there. License and registration, please.",1
You must have clocked the wrong car. I wasn't speeding.,1
"Dispatch, conducting stop on speeding vehicle, plate MHR-765. Driver disputing speed.",1
"Look, just give me my ticket and let me leave. I'm late already.",2
"Relax, it'll be quick. Any reason you're in such a rush?",2
What's it to you? Maybe you should mind your own business.,2
"Sir, I'm noticing suspicious behavior. Step out of the car slowly for me.",3
Suspicious? You‚Äôre the suspicious one here. I‚Äôm staying right where I am.,3
I won't ask again. Exit the vehicle immediately.,3
"You're really pushing your luck, officer. You don't want to see me angry.",4
"Dispatch, subject is becoming hostile. Hands visible now! Step out!",4
"You reach into this car, and you'll regret it forever!",4
Drop that knife immediately! Do not move!,5
Back off! You're not taking me down tonight!,5
Drop your weapon or I'll shoot! Final warning!,5
Go ahead‚-let's see how brave you are when I come at you!,5
"Officer: Good evening, Officer Turner here. Just letting you know your headlights aren't fully on.",1
"Driver: Oh wow, I didn't realize. Thanks for pointing that out.",1
Officer: No worries. Have a good night and drive safely.,1
"Driver: You too, officer. Thanks again.",1
"Officer: Evening, Officer Riley. You were going 15 mph over the limit. License and registration.",1
"Driver: I wasn't speeding, officer. Your radar is broken.",2
"Officer: Radar's accurate, sir. Just sit tight while I check your documents.",2
"Driver: Sure, waste everyone's time. Typical police move.",2
"Officer: Keep calm, we'll be done shortly.",2
Driver: Whatever you say. Just hurry it up.,2
"Officer: Officer Hughes here, noticed you're parked oddly late at night. Everything alright?",1
"Driver: I'm fine, just taking a break. What's the problem?",2
"Officer: Dispatch, checking suspicious parked vehicle, plate GHT-345.",2
"Driver: Suspicious? Mind your business, officer.",3
"Officer: Step out for me, please. Just need to verify you're okay.",3
Driver: I'm staying put. You got no right to bother me.,3
"Officer: Hands visible, right now! Dispatch, potential threat, send backup.",4
Driver: You're making a big mistake. Stay away!,4
Officer: Drop what's in your hand immediately!,5
Driver: Come closer and you'll find out exactly what it is!,5
"Officer: Good afternoon, Officer Phillips here. Your trunk is slightly open.",1
"Driver: Oh, didn't notice. I'll fix it right away, thanks!",1
"Officer: No problem, have a nice day.",1
"Driver: Thanks, you too!",1
"Officer: Evening, Officer Chapman. You missed the yield sign back there. License and registration, please.",1
Driver: I didn't miss anything. You're making stuff up now.,2
"Officer: Dispatch, argumentative driver on traffic stop, send backup as precaution.",2
Driver: Backup? This is ridiculous!,2
Officer: Step out of your vehicle now.,3
Driver: I'm not moving an inch.,3
Officer: Exit the vehicle now or you'll be forcibly removed.,4
Driver: Touch me and I'll sue you into next week!,4
"Officer: Officer Douglas, conducting a random license check tonight. License and registration, please.",1
"Driver: Sure, officer. Here you go.",1
Officer: Everything checks out. Drive safe.,1
"Driver: Thank you, officer.",1
"Officer: Officer Reed here, your vehicle's exhaust noise exceeds legal limits.",1
Driver: Really? Nobody's ever complained before.,1
Officer: Just get it checked soon. I'll let you off with a warning tonight.,1
Driver: Appreciate that. I'll get it looked at.,1
"Officer: Officer Perez, you ran a yellow light dangerously late back there. Documents, please.",1
"Driver: Yellow means hurry up, officer. Maybe you should review traffic rules.",2
Officer: Let's just be civil. This won't take long.,2
"Driver: Yeah, whatever. Just wasting both our time.",2
"Officer: Evening, Officer Murphy. Reports of an altercation nearby. Do you have weapons on you?",1
Driver: Why would I tell you? You accusing me of something?,2
"Officer: Dispatch, need backup immediately; driver hostile over weapon inquiry.",3
Driver: You're creating trouble out of nothing.,3
"Officer: Hands on the dashboard, do not move!",4
Driver: Move in and you'll regret it!,4
Officer: Drop the knife right now!,5
Driver: Take another step and it'll get ugly fast!,5
"Officer: Officer Bennett here, your gas cap is hanging loose.",1
"Driver: Wow, didn't realize. Thanks for letting me know.",1
Officer: You're welcome. Have a good evening.,1
"Driver: Thanks, you too!",1
"Afternoon, Officer Collins here. Noticed you weren't wearing a seatbelt earlier.",1
"Sorry, officer. I usually do, just forgot today.",1
"It's for your safety. Please buckle up, have a good one.",1
Will do. Thanks for the reminder.,1
"Officer Andrews, we got reports of suspicious activity. Mind if we take a look inside your vehicle?",1
"You got a warrant? Otherwise, no way.",2
"Dispatch, driver refusing consent. Request backup for potential search.",2
This is harassment! You cops are all the same.,3
Step out of the vehicle. We need to verify there's nothing illegal inside.,3
"I'm not leaving my car, so back off.",4
Hands away from the glove compartment now!,4
"You better stay back, or it'll end badly for you!",5
Officer Shaw here. Looks like your car's leaking some fluid.,1
"Really? Had no idea. I'll check it out now, thanks!",1
"Sure thing, drive safe.",1
"You too, officer.",1
"Evening, Officer Clarke. Standard DUI checkpoint, license please.",1
DUI? You're wasting everyone's time.,2
"Routine check, sir. Any drinks tonight?",2
Maybe. What's it to you?,3
"Step out, we need to perform a quick sobriety test.",3
No tests. No way. Leave me alone.,4
Exit your vehicle now or you'll be forcibly removed.,4
Try it and you'll see what happens.,5
Officer Davis here. Thought your tags were expired but they're good. My mistake.,1
"No worries, officer. Happens to the best of us.",1
"Thanks for understanding, have a great day.",1
"You too, take care!",1
"Officer Green here, your window tint is darker than legally allowed. Papers, please.",1
Seriously? This tint's fine. Stop wasting my time.,2
"Dispatch, send backup; driver argumentative over vehicle modifications.",2
Backup? Ridiculous. You're creating issues from nothing.,3
Exit your vehicle. Let's discuss this calmly outside.,3
I'm not moving. End of story.,4
"Officer Hernandez, noticed you didn't signal back at that intersection.",1
"Really? Sorry, didn't realize.",1
"No worries, just be careful next time.",1
"Will do, thanks officer.",1
"Officer Price, observed you texting while driving. License please.",1
"I wasn't texting, I was checking my GPS.",2
Still distracted driving. Wait here while I run your details.,2
You cops need better things to do.,3
"Stay calm, it'll only take a minute.",3
"Officer Kim here. You drove aggressively back there. Step out of your vehicle, please.",2
Aggressively? You're making stuff up!,3
"Exit the vehicle now. Dispatch, requesting immediate backup.",3
"You touch me, you'll regret it!",4
"Officer Foster, noticed you're parked on the shoulder. Everything okay?",1
"Car overheated, waiting on a tow.",1
Understood. Need any help while you wait?,1
"I'm good, thanks for checking though.",1
"Good evening, Im Officer Jameson. Were conducting sobriety checks tonight. Have you consumed any alcohol?",1
"No officer, Im completely sober. Just heading home from work.",1
Great. Just standard procedurelicense and registration please.,1
Sure thing. Here you go. Can I ask how long this will take?,1
"Not long at all, just verifying your documents. Been a busy night for us here.",1
I can imagine. Hope you catch the dangerous ones.,1
All clear. Drive safe and thanks for your patience.,1
"Thanks officer, you too. Stay safe out there.",1
"Evening, Officer Monroe here. You were significantly over the speed limit. Any reason youre in a hurry tonight?",1
"Look, I wasnt speeding. Youre mistaken or your radar is faulty.",2
Radars working perfectly fine. License and registration please.,2
This is harassment. Im tired of being pulled over for no reason.,3
"Sir, please step out of the vehicle. Lets handle this calmly outside.",3
Im not stepping anywhere. Leave me alone.,4
"Exit now, or youll force me to remove you.",4
You dont scare me. Lay a finger on me and itll be your biggest regret.,5
"Good morning, Officer Johnson. Your bike rack seems loose it might pose a hazard.",1
"Oh wow, didnt notice that. Im heading out biking now, glad you caught that.",1
No problem. Take a minute to secure it safely.,1
Definitely will. Thanks for looking out.,1
Happy to help. Enjoy your ride!,1
"Appreciate it, officer. Have a good day!",1
"Evening, Officer Gray here. Weve received tips about drug activity in this area. Mind explaining why youre parked here?",1
"Just sitting here, minding my business. I dont know anything about drugs.",2
"Dispatch, checking vehicle with suspicious activity, requesting backup.",2
